id,rating_number,rating_text
19,5,"Es la profesora más querida de la vida, da mil y un chances para subir nota, da puntos para parciales por pasar al tablero, a veces borra las peores notas y hace curva."
20,5,"Qin es una gran profesora, sabe aclarar muy bien las dudas que surgen a lo largo de la clase y su actitud genera un ambiente de amistad entre todos los estudiantes. Es joven y extrovertida lo cual hace que se sienta confianza en la clase."
21,2.4,"-No brinda a sus estudiantes seguridad para poder participar ya que hace notar las preguntas como ""bobas"" o ya explicadas"
22,1.5,"Jamás había tomado una clase en la que, al final del semestre, me hiciera sentir furioso, humillado y estresado al mismo tiempo. Las clases coordinadas por el Dr peña generan un miedo constante y un sentimiento de represión que hacen imposible disfrutar del aprendizaje. Si algo sentí después de tomar clase con el Dr, fue a odiar los temas relaciona..."
23,4,"Maria Isabel es una profesora muy amble y atenta con todos sus estudiantes. Es una profesora sumamente exigente ya que considera que esta clase es vital para tener un excelente progreso en todo el proceso de adquisión de la lengua. Las clases pueden llegar a ser un poco tediosas, sin embargo es cuestion de concentrarse por completo en la clase y participar siempre."
24,4,"Peña es un buen profesor, sabe mucho y la clase es muy chistosa. Aun así, no suele tener un orden en la clase tan claro como existe con otros profesores. "
25,2,"Sabe del tema pero no tiene experiencia en arquitectura empresarial, la clase se vuelve muy teórica y en que ella lee las presentaciones. No la recomendaría para dictar esa materia."
26,3.1,"La clase es increible, la profesora a veces es buena persona a veces no. Es muy preferitista y feminista, ayuda a poca gente y trata muy bien a unos pocos a los otros normal. Ademas el grupo de ayuda tampoco esta muy dispuesto a ayudar en los trabajos y califican sin explicar bien lo que esperan. pero la clase es buena"
27,4,"Es una persona muy amable, se preocupa por los estudiantes"
28,3.4,Pros: Explica bien los temas de clase
29,2,Es demasiado aburrido. Se aprende mucho pero parece un profesor de colegio. Aveces califica muy duro y no deja sacar los celulares en clase. Si llegas o te vas 15 minutos despues o antes te pone falta.
30,5,Excelente conocimiento del tema
31,4.8,"Es lo más lindo del mundo. Super querido, explica muy bien, cuenta muy buenas historias como parte de su clase, es muy entretenido. Responde dudas y lo prepara a uno para los parciales. Super recomendado!"
32,4.2,"Es muy buena profesora ya que le apasiona mucho lo que enseña y explica los temas de manera muy rigurosa. Un problema que tiene es que se le debe prestar demasiada atención ya que es un poco difícil seguir el hilo conductor, además de que aveces se centra mucho en los ejemplos que en el tema de la clase"
33,5,Es el mejor profesor del Departamento de Matemáticas para mí. Es divertido y motivacional. La explicación en clase es muy buena y los parciales y proyectos son de un nivel normal (si uno estudió le va muy bien). Se interesa en la opinión de sus estudiantes y siempre está dispuesto a ayudar y resolver dudas.
34,4,"Su clase me resultó aburrida, es probable que no por ella, si no porque no me interesaba. Es una buena profesora."
35,3.5,"Rubby es tal vez la mejor profesora de este curso, desarrollo de Sw en equipo. La mecánica de la clase es retadora desde el inicio y tal vez ahí es donde ella falla en el curso. No es la mejor explicando los temas y los estudiantes tienden a enrredarse y no comprender los temas."
36,5,Es un excelente profesor y se apasiona por lo que hace y se lo hace sentir a sus estudiantes. Es chistoso y parece que está loco (en el buen sentido). Lo recomiendo mucho para esta materia y dicen que es mucho mejor que Mónica. Te ofrece su ayuda en cualquiera de las entregas que hay que hacer
37,5,"muy buena profesora, es amable, comprensiva, y no da la clase como una cátedra"
38,2,"Es una profesora a medias. Habla por debajo de la frecuencia escuchada por los seres humanos, no se explica bien y sus diapositivas son tan ambiguas que ni ella sabe que querían decir. Es un tema muy bueno y es triste ver como en clase no se aprende nada relevante. Piensa que la práctica es mejor que la clase teórica, sin embargo a partir de los ej..."
39,5,"La mejor profesora de idiomas que he tenido. Tiene mucho tiempo extra si es necesario y se preocupa realemente porque el estudiante aprenda, es muy buena profesora y tiene un gran manejo del idioma, muy muy recomendada"
40,4,Pros: Explica excelente y uno queda demasiado bien preparado para el final
41,5,"Sin duda es la mejor profesora de toda la Facultad de Arquitectura, es muy amable, exigente, explica muy bien y hace que la clase sea demasiado interesante. Por ella me quede en Arquitectura. Lastima que ya se va este semestre :("
42,1.5,"Silvia no se esfuerza por actualizar el contenido de su curso, además es dificil estudiar por cuenta propia pues ella se contradice con lo que los textos y cursos en linea indican. Además le incomoda que los estudiantes pregunten en su clase y si no sabe como responder (que es la mayoria de veces) simplemente se pone brava con el estudiante por pr..."
43,4,La clase es muy general y el profesor algunas veces llegaba un poco tarde.
44,3,"Es un profesor que no sabe explicar, ni sabe llegar a los estudiantes. La gran mayoría no participa por miedo a lo que responda, ya que normalmente responde con comentarios ofensivos. A pesar de saber mucho, no sabe transmitir ese conocimiento."
45,1,"No es buen profesor, la clase no es interesante"
46,3,"No volvería a meter la clase con Monika por el simple hecho de que sus parciales son mas dificiles que los de los otros profesores. Ademas, en clase dedica mucho tiempo a hacer demostraciones y se vuelven monotonas. A pesar de esto siempre esta dispuesta a explicar lo que no es claro."
47,5,El mejor de todos! Uno sale amando industrial después de cada clase con Camilo. Explica demasiado bien y es muy querido y chistoso.
48,2.6,"Se enreda explicando, a veces no tiene preparada la clase, pero sabe de los temas."
49,4.5,"Excelente curso y excelente profesor. Me gustó mucho todo, su explicación y la forma en que realizaba actividades en el curso a medida que avanzábamos con los temas. Si te gusta la lógica formal o no formal, y quieres ver un CBU relacionado con la forma en que debes argumentar, este curso es perfecto."
50,4.1,"En su clase hazte el preocupado por tu proyecto y hazte que no te está saliendo bien, con eso ella se enfoca en ti y te dedica tiempo y retroalimentación, además te puede ir mejor en la final porque ella vió tu esfuerzo desde que ibas mal hasta tu mejoría. A mi me pasó que me iba bien y entonces ella me olvidó y se enfocó en los otros proyectos y para la final me fue como un zapato."
51,4.9,"ES EL MEJOR!! Le importa mucho que uno en serio aprenda, acompaña en los procesos y si uno demuestra que le interesa la clase se convierte en un apoyo muy grande para superar la materia."
52,4,"Pros: Es muy amable, sé preocupa muchisimo por nosotros los estudiantes"
53,2,"Aunque pasar la clase es fácil porque hace unas curvas ridículas, es fácilmente de los profesores menos buenos de toda la facultad. Toca aprender solo porque no sabe explicar claramente y constantemente se enreda en clase."
54,4,"Es evidente que el profesor conoce del tema, sin embargo las clases pueden llegar a ser tediosas pues se limitan a la explicación de diapositivas. Es fácil dejarla alta."
55,4.5,Es exigente pero enseña muy bien. Muchas guias pero faciles de hacer. Es una clase dinámica y divertida. Al principio tiene mucha teoria pero que en verdad e smuy importante para mejorar la pronunciación en Aleman. MUY BUENA CLASE.
56,4,"Las dinámicas de clase salen del molde de una clase normal y se entiende la intuición de los temas. Los parciales no son tan díficiles y con las monitorias uno queda listo para el parcial. La monitora en clase no tiene la mejor actitud, pero en las monitorias es muy buena. Recomiendo la clase para apreder de microeconomía desde una perspectiva comp..."
57,3.1,"No explica bien, parciales fáciles, quices fáciles. Toca pasar al tablero constantemente."
58,3.6,Es muy buena persona. Fácil de pasar. Aprende uno siempre y cuando lea.
59,4.5,"EXCELENTE profesora. En lo particular, para mi es importante que los profesores de estudio sean claros, aun mas cuando se trata de pensamiento de diseño. Maria Paula ayuda siempre a mejorar en cada entrega e incentiva al estudiante a dar su mejor esfuerzo. Al comienzo no se entiende el punto de la clase pero con cada trabajo y método que te enseña te vas encaminado a una mejor nota."
60,3.5,Es un excelente profesional pero como profesor deja un poco que desear. Sus clases carecen a veces de pedagogía para realmente llegar a entender con total satisfacción los temas propuestos. Hace que uno tenga miedo a preguntar alguna cosa porque puede llegar a ser algo bully.
61,5,"Excelente profesor, demasiado inteligente."
62,5,Pare de buscar. Usted ha encontrado el mejor profesor de APO 1 de toda la Universidad. Enseña con ejemplos prácticos y divertidos para mantener activa a clase. No utiliza las diapositivas eternas del departamento sino que explica los temas en el tablero de una manera clara y sencilla. Se detiene a explicar los temas hasta que todos lo entiendan.
63,5,"Excelente profesor, muy claro y riguroso al explicar los temas en clase."
64,5,Carlos sabe muchísimo de estadística y es muy bueno a la hora de enseñar. Me parece que la proporción entre explicar la teoría de los métodos (ANOVA/Regresión) y sus aplicaciones es perfecta porque uno entiende de dónde vienen y para qué sirven. Es muy receptivo a dudas en clase y se esfuerza porque a uno le quede claro antes de seguir.
65,5,LOVE
66,2,"Aunque hay clases muy buenas que te hacen pensar y cuestionarte muchas cosas y salir de la zona de comodidad, su clase es una absoluta pérdida de tiempo la mayoría de las veces. No puedes cuestionarle nada porque siempre está a la defensiva cuando se le lleva la contraria en algo y trata de obligarte a contar tu vida personal delante de los demás."
67,4.5,Explica bien y es un profesor muy amable. Recomiendo meter con él.
68,5,Excelente profesor.
69,5,Juan Camilo es un excelente profesor (además de ser un investigador reconocido internacionalmente y un gran ser humano) que fomenta la curiosidad científica (orientada a temas socialmente relevantes) en sus estudiantes. Tomar esta clase me permitió descubrir mi pasión por la economía del comportamiento (si les interesa este tema tomen esta clase).
70,4.2,"Buena profesora. Sabe muchísimo del tema que enseña, es fácil de entender y hace interesante el tema."
71,4.9,"Es el mejor profesor de verdad ensena con pasion y con anecdotas que le han pasado juzgandolas desde una perspectiva profesional, ademas, los temas son super interesantes si lees el libro, asistes a clase y participas es muy facil dejar la materia en 5. El libro que se usa en clase es excelente."
72,2.5,Enseña muy lento. Se enfoca en detalles muy pequeños de la pronunciación que no tienen efecto real. A veces es malgeniada y se la monta a algunos estudiantes. Tiene acento raro y eso puede llevar a que uno hable con su acento.
73,4.5,"Excelente profesor, los parciales son un poco difíciles pero es lo propio de la materia. Las explicaciones son muy precisas. El mejor profesor de la facultad de economía. Atiende preguntas de los estudiantes en todo momento y trae los temas a la cotidianidad."
74,2,"No es el mejor para ver diferencial, si te quedas del grupo es muy difícil seguir el hilo de la clase"
75,1,Es muy grosera en la manera de referirse a los estudiantes. No es paciente...
76,3.5,Pros: Sabe mucho
77,3.9,"Me parece un excelente profesor. Hace que los temas de la clase sean cercanos al estudiante, entretenidos e incluso chistosos. Es super relajado para calificar. Cuando la vi era tipo Blended por lo cual había bastante trabajo para la casa, sin embargo con cumplir es suficiente para sacarse una muy buena nota."
78,3,Sebastián sabe un montón pero sus clases son muy aburridas y monótonas. Es una hora y veinte minutos de él hablando sobre el tema sin dejar que los estudiantes participen.
79,4.9,Excelente profesora. De las mejores que he tenido en la carrera
80,3.5,"Es un docente interesado en el bienestar y aprendizaje de sus estudiantes, aun así a sus clases les hace falta mucho trabajo. Temas que se podrían analizar en una semana a veces se toman casi un mes."
81,4.5,LA MEJOR CLASE. Isabel es una profesora muy querida y comprensiva. Algunos temas son un poco complejos pero la materia es facil de pasar si se trabaja y se va a clase. La monitora ayuda mucho a entender algunas cosas sueltas. GRAN CLASE
82,2.8,"Es un profesor muy complicado de tratar. La verdad detestaba asistir a sus clases, y solo hasta final de semestre comencé a disfrutarlas. Puede llegar a ser antipático pero sabe mucho."
83,5,"muy buen profesor, da oportunidades si ve el esfuerzo del estudiante"
84,4.7,Modernismo es una materia obligatoria en el pensum de literatura. Entiendo porque para algunos pudo ser tediosa pero en mi experiencia eso es más una actitud de las perosnas frente a los textos que ante las clases. Vi Borges con Solodkow y era muy molesto porque se lapasaba regañando a la gente que no leía llegaba tarde o hablaba en clase etc. mode...
85,2,Muy difícil para ser un CBU. No me gusto en lo absoluto.
86,5,(Diseño 2 y Pensamiento y Razonamiento)
87,4.5,"Genio total! es un académico totalmente apasionado por lo que hace, por su linea de investigación y por la psicología, lo cual se puede ver claramente en sus clases. Aunque a simple vista puede parecer un poco serio, la verdad es que es muy comprensivo, amable y respetuoso, y se muestra dispuesto a hablar con el estudiante. La clase tiene un nivel ..."
88,3,"Su actitud en la salida de campo fue totalmente desconcertante pues no demostraba ser muy pro con su conocimiento en hongos, además de que estuviese paranoica debido a la presencia de ciertos animales silvestres."
89,5,"Todo con Mauricio es flexible, entiende la carga académica de los estudiantes por lo que trata que su clase sea de aprender y divertida."
90,5,"Es un excelente profesor, sabe muchísimo. Hace unas retroalimentaciones muy buenas. Exige puntualidad"
91,5,"Myriam es una profesora con un conocimiento muy amplio de la materia y además, su disposición para compartirlo es lo que hace de la clase una gran experiencia. Es una profesora que se dedica completamente a sus estudiantes, es amable, paciente y muy inteligente. Deja tareas y trabajos por lo cual es fácil profundizar los temas y sacar una buena nota al final."
92,5,"Es uno de los mejores profesores que he tenido. Demasiado querido, abierto a ayudar a los estudiantes. El ingles puede ser intimidante al comienzo pero despues es muy claro. La clase es dinámica, interesante y muy aplicada a la vida real."
93,5,"Alexander es un excelente profesor. Lejoss uno de los mejores profesores de cálculo de la universidad. Su carisma, amabilidad y pasión al momento de explicar demuestran todas las clases que es un profe que goza su profesión y disfruta lo que hace. Es súper claro y entendible todas sus explicaciones, es hiper atento a resolver cualquier duda, y no d..."
94,1.5,"Es la peor profesora que he tenido en la universidad. Explica muy mal, solo iba a clase porque hace quiz sorpresa pero todo lo que aprendi fue del libro. Eso sí parciales fáciles si haces los ejercicios del libro, pero ir a su clase es una perdida de tiempo. Ademas en los parciales bajaba mucha nota por organización"
95,2,La verdad esta clase no me gustó para nada. Dicen que ecología es una buena electiva para subir el promedio pero con este profesor sucede todo lo contrario. Los parciales son demasiado específicos y el proyecto es muy simple y no vale nada. La pasé gracias a la complementaria porque con Emilio no aprendí nada.
96,4.6,Pros: - Las clases nunca son aburridas. 
97,2.3,"Se nota que sabe mucho y explica muy bien, pero su clase es un fastidio!. Interrumpe demasiado por cualquier cosa, por sacar el celular, o hablar"
98,5,"Es un excelente profesor, sumamente claro y que busca que la gente realmente entienda y se interese en la clase. Es muy amable, comprensivo y tiene un excelente sentido del humor, lo cual hace la clase muy amena."
99,3,Es muy exigente. Sin embargo siento que aprendi mucho a pesar de todo. Tienes que estudiar mucho por tu cuenta y si te descuidas es muy facil perder la materia.
100,5,Es muy buen profesor y hace que la clase sea muy divertida y entretenida. Sabe muchísimo del tema y es muy amable.
101,4.4,"Al principio del semestre no me entendí muy bien con ella, sin embargo gracias al interés que le puse a la materia termine apreciando mucho su forma de enseñar y la confianza que da a las personas de su sección. Tanto así que luego de la entrega final tuvimos una charla entre todos que comprobó lo fácil que es tratar con ella y lo llevaderas que er..."
102,4.9,"Es admirable la claridad y entusiasmo con la que Libardo transmite su conocimiento durante la clase, tornando lo que pueda ser un tema complejo en materia de derecho, en algo comprensible para todos. En pocas palabras, hace de la clase un espacio para disfrutar y aprender con ejemplos prácticos y reales de cada una de las temáticas vistas en el curso. Es un excelente profesor."
103,5,"Amo a Marcus, es uno de los mejores prfesores. La clase es muy interesante, pero como no toma asistencia muchos estudiantes dejan de ir. Califica participación, y se sabe el nombre de los estudiantes. Se preocupa por los estudiantes. Las notas de talleres y casos son calificados por los monitores, y el parcial son preguntas de opción multiple, y unas abiertas."
104,5,"Muy buen profesor, se preocupa porque uno entienda todo, no hace la clase para nada monótona"
105,4.5,"Andrés es un profesor muy apasionado por los temas que dicta, tiene mucho conocimiento en el tema y en general es una buena persona."
106,4,Es una excelente persona además de explicar muy bien
107,5,"Ana es muy buena profesora y una persona muy amable cuando te das la oportunidad de hablar con ella. Es muy dedicada en la preparación y realización de la clase, se preocupa si ve que los estudiantes no comprenden e incentiva la profundización de los temas. Puede llegar a mostrarse más entusiasta hacia los estudiantes que se esfuerzan, lo cual es a..."
108,4.5,"Dario sabe bastante sobre todo lo que explica. La materia en sí es difícil, por lo que él no califica particularmente duro. Es divertido. Lo realmente malo, es que escoge pésimos monitores y no deja ejercicios para practicar, por lo que estudiar se puede volver un gran reto."
109,4.8,"es una muy muy buena profesora, además es una persona increíble, muy querida y se aprende los nombres de todos sus estudiantes."
110,1.5,"Es la clase más aburrida que he visto en la universidad. El profesor no logra captar la atención de los estudiantes, por otra parte demanda bastante tiempo ya que hay talleres y cuestionarios semanales. La materia se puede dejar alta pero realmente no la recominedo. Ni Hernando ni el monitor contestan los correos."
111,2.5,"Rodrigo es un profesor que no demuestre interés en el aprendizaje de sus estudiantes, es muy difícil preguntar en clase por el tipo de respuestas que da, si a el no le parece la pregunta o si es muy obvia para el. Sus notas de clase pueden mejorar siendo un poco más especificas en su explicación."
112,3.9,Muy atento y amable.
113,2,"Eliana es una profesora que se nota que ama las matematicas pero no sabe enseñar, comienza repasando conceptos basicos con animalitos y caritas felices y de un momento a otro ya esta resolviendo ejercicios. Realmente es una clase netamente para resolver dudas puntuales."
114,5,Pros: Paciente
115,3.4,"La clase de Laura es bastante aburrida ya que se basa en pasar diapositivas, sin embargo es una materia que se pasa sola."
116,3,"María Del Pilar es una profesora que intenta enseñar y que sus estudiantes presten atención. Sin embargo no lo logra, sus clases siempre son iguales y resultan aburridas ya que no se aprende nada yendo a las sesiones."
117,5,"Ricardo Posada es lo que se denomina un verdadero maestro, transmite su conocimiento con mucha facilidad y claridad. Su clase es espectacular! Recomendación para todos: ver general y especial con el."
118,5,"Antonin es un excelente profesor. Explica muy bien los temas, es muy buena persona y su clase es bastante entretenida. Suele ser estricto con las notas pero se preocupa por el aprendizaje de los estudiantes y uno siente un progreso como alumno."
119,4.3,"Es muy buen profesor, genera mucha motivación para estudiar y apasionarse por la arquitectura. A veces se extiende dando retroalimentación entonces no alcanzan las clases para revisar a todos los estudiantes."
120,4.5,buena profesora y muy interesada en que sus estudiantes aprendan
121,3.5,"Pros: Sabe demasiado del tema, insentiva a hacer y explorar muchas coas y esta pendiente del trabajo de cada grupo"
122,4,"David es un buen profesor, explica lo necesario y rápidamente, aunque a muchos no les gusta su actitud, creo que hace que la clase sea interesante (no es aburrida y lo mantiene despierto)."
123,4,Buen profesor aunque la clase puede llegar a ser aburrida en algunos momentos. La clase no es dificil y si uno quiere puede aprender bastante.
124,5,"Miryam es un excelente profesora, sabe un montón y además da clases que no creo que sean las más fáciles de dar. Además, es una persona sumamente comprensiva, respetuosa y tiene un excelente humor. Yo no entendía porqué ver latín y terminé yendo a clase con ganas."
125,5,"Claudia es única, todo un personaje y lo transmite perfectamente a sus clases, que son dinámicas y suelen estar cargadas de humor. Sus lecciones no se limitan a las obras y la literatura y siempre se tocan otros temas como la historia, la política e incluso series de televisión. A lo largo del semestre se realiza un recorrido a través de la histori..."
126,4,Es un señor con toda la experiencia del mundo. Sabe mucho de lo que está hablando. Se enreda en los tiempos de clase y es difícil terminar de ver todos los temas.
127,5,Felipe es un excelente profesor. Además de esto es uno de los mejores profesionales en el área del derecho público administrativo. Su clase es entretenida. Tiene una manera diferente de dar la clase pues muchas veces se genera confusión pero al final todo cobra sentido. Parte de lo mejor de la clase es Catalina Guerrero es su profesora asistente; e...
128,5,"Es un amor de profesora, la clase es muy buena. La clase permite desarrollar las entregas dentro del tiempo de las horas dadas. La entrega final es abierta y divertida ya que hay que llevar comida."
129,4,Muy buen profesor.
130,5,"Es excelente como persona tanto como profesor, hace las clases muy interesantes y siempre está dispuesto a atender dudas. Explica muy bien y es muy ordenado. Súper recomendado."
131,5,"Cindy es una buena profesora, explica bien, da consejos sobre las prácticas y está atenta a cualquier duda para resolverla."
132,5,"Cuando decidí meter con ella fue con miedo por los comentarios que hacían en esta página, fue gracias a una amiga que decidí arriesgarme y hasta ahora no me arrepiento. La profesora no es brava, es exigente pero justa, la clase es más una charla así que es un requisito leer, y leer bien, sino es mejor no ir. Como persona Luisa Maria es muy querida ..."
133,3.5,"Es muy buena persona, sabe mucho del tema y responde las preguntas en sus clases. "
134,4,Las cosas que se aprenden en la clase son muy cheveres. Aprendí mucho no solo de hacer sino de como formular proyectos y ver si son viables.
135,5,"Es un buen profesor es amable y sus clases dan mucha libertad al estudiante de aprovechar o no el tiempo en las actividades propuestas, su metodo de enseñar es de mucha interacción con sus estudiantes haciendo que la clase sea más dinamica. En otros aspectos el profesor tiene acento británico por si a alguien le gustaría aprenderlo"
136,4.5,"Buen profesor, enseña la parte del derecho que ejerce en donde trabaja, parciales y final trabajable. La clase es buena, salvo por su muletilla: efectivamente."
137,5,Excelente profesor.
138,5,"De las mejores profesoras que tiene la universidad, intenta dar mayor claridad sobre el tema y sus fervor por la clase ayuda a ello, Hay que leer pero creo que vale la pena para poder aprovechar a la profesora, además, pasar es relativamente fácil."
139,5,Carolina es una persona muy preparada y lo demuestra en sus clases. Para muchas personas es cortante pero se puede llevar mientras se cumpla con lo que se dice durante las clases. Por otro lado para el taller de inducción hay que siempre estar pendiente del cronograma ya que no es una clase que se vea todo el semestre
140,5,"Jimena es una gran académica y profesional. Además, se interesa por la pedagogía dentro de sus clases. Realmente logra transmitir el conocimiento de manera clara y precisa. "
141,5,"Raga es un man un bacan. Yo creo que cualquier clase que el de es una chimba, el man es super parchado y muy buen profesor. Comparada fue un chiste de clase (en lo facil) pero uno aprende lo necesario. "
142,5,Pros: La clase es muy interesante y es difícil aburrirse. 
143,4,"Es un excelente profesor, explica muy bien aunque es muy exigente."
144,5,"Sus clases son muy entretenidas, proponen una metodología diferente."
145,3.7,Es un poco canson en clase con la asistencia y con los trabajos que se deben hacer. Pero la clase no es maluca y él es buena persona.
146,4,"es muy buena gente, comprende las necesidades de los estudiantes y ayuda mucho, sin embargo, sus explicaciones no son del todo claras."
147,5,"Es una excelente profesora, explica muy bien. Es comprensiva y muy buena onda. califica de manera justa."
148,5,"Es un excelente profesor, se interesa por qué los alumnos aprendan y no tiene problema con ayudar en lo que sea. Sebastián explica muy bien los contenidos de clase y no tiene problema con repasar múltiples veces una misma cosa si alguien se lo pide. Es un profesor muy abierto con los estudiantes y que se empeña en que los alumnos puedan hacer los a..."
149,1,"No le recomiendo a nadie que inscriba materias con Maria Luisa.Es una profesora que no es imparcial a la hora de calificar , y que prepara solo a los estudiantes con los que simpatiza para enfrentar los retos del Taller."
150,5,Felipe es muy querido. Tiene un alto conocimiento sobre conformación de equipos. en general es una excelente persona y un gran profesor.
151,4.7,"Martha es una gran profesora, la mejor para ver Taller de Habilidades Informáticas, sin embargo es la sección en la que más hay que trabajar. Hay que ir siempre a las clases, habiendo preparado y desarrollado los ejercicios propuestos para poder entender lo que explicará. Aunque es una materia de 1 crédito, el trabajo es muy demandante y puede ser ..."
152,5,Es una clase interesante si los alumnos le ponen ganas y hacen buenas exposiciones ya que de eso trata 80% de la clase.
153,5,Es un profesor genial. 
154,5,"Es un excelente profesor, se aprende demasiado con el, se nota que domina perfectamentw el tema, wn realidad fue un placer haber sido su alumno"
155,5,"El man es súper buena gente si uno es respetuoso con el, se esmera por hacer entender. Me cayó muy bien"
156,4,"Domina muy bien el tema del curso. Sin embargo, la clase es algo monótona y un poco tediosa. Los entregables son interesantes, pero su manera de calificar es severa y a veces confusa. Pero sabe del tema."
157,2.8,"De los peores profesores de toda mi vida, no ensseña nada, sólo te dice lo que debes hacer y tú debes aprender por tus medios."
158,4.5,"Es una excelente persona y profesora, pero a la hora de calificar es exageradamente estricta y dura."
159,5,"Es una excelente profesora, es abierta a responder dudas y hace de la clase un espacio de aprendizaje activo y dinámico. Se enfoca mucho en enseñar la lengua desde la cultura brasilera, lo cual hace que realmente se disfrute la clase."
160,4,"A veces se desvía del tema pero en general, es bueno."
161,5,"Claudia es una de esas maestras que le cambian a uno la vida y la forma de ver las cosas. Su clase es muy entretenida, incentiva el pensamiento crítico en sus estudiantes y además relaciona su clase con su vida personal, con lo cual logra generar un vínculo. No se limita solo a lecturas académicas para estudiar los procesos históricos, hace uso de ..."
162,5,Muy buen profesor
163,5,"Tania es una profesora y persona maravillosa, es la segunda vez que tomo clases con ella y no me arrepiento para nada. Sin embargo, puede que deje trabajos que requieren de mucho tiempo y estos se desarrollan a lo largo del semestre."
164,4.5,"Es muy dulce, y comprensiva. Entiende que los estudiantes son más que un código."
165,5,"Sin lugar a dudas el profesor Pinzón es el mejor profesor con el cual he tenido clase, se caracteriza por tener un conocimiento extraordinario de la macroeconomia y tiene gran habilidad para dar a conocer los contenidos del curso a los estudiantes siempre con orden, precisión, claridad y pasión. Dando prioridad a la solución de dudas y a la preparación integral de los estudiantes."
166,5,"Excelente profesor !!! los temas quedan claros pero creo que han cambiado la metodología desde que la vi y ahora es más difícil, cuando yo la vi era el único que enseñaba a pintar ciclos"
167,5,"Buen profesor, es paciente y muy comprensivo."
168,4,Es una muy buena profesora. Las clases son interesantes y nunca se vuelven aburridas. Domina bien los temas que expone
169,1.5,"Es muy desorganizada con sus notas y sus trabajos. La clase tiene mucha carga academica para ser de 3 créditos. Califica de manera subjetiva asi que no existen estándares previos, sino que tiende a ponerlos después de entregar los trabajos. Por lo general no vale opiniones diferentes a las de ella en los trabajos."
170,3.7,"Pros: Sabe mucho,es puntual y claro con lo que quiere"
171,3.7,"Buen profesor, hace la clase dinamica e interesante aunque podría ser mas claro en sus explicaciones."
